qps,mode,qualifying_launches,average_app_latency_s,completed_applications,max_app_latency_s,p50_app_latency_s,p90_app_latency_s,p95_app_latency_s,p99_app_latency_s,throughput_apps_per_s,total_e2e_s,e2e_min_s,e2e_max_s,output_tokens_per_s,native_preemptions,critical_wait_max_s,critical_wait_observed_max_s,scheduling.cache_affinity_admitted,scheduling.cpu_hit_tokens,scheduling.critical_admitted,scheduling.critical_wait_ge_180s,scheduling.critical_wait_ge_60s,scheduling.executed_tokens,scheduling.generation_capacity_denied,scheduling.generation_progress_deferred,scheduling.gpu_hit_tokens,scheduling.physical_preempted,scheduling.prefill_capacity_denied,scheduling.recomputed_tokens,scheduling.reservation_denied,scheduling.reservation_preempted,scheduling.resume_cpu_hit_tokens,scheduling.resume_gpu_hit_tokens,first_prefill_sources.local_compute,first_prefill_sources.local_cache_hit,first_prefill_sources.external_kv_transfer,timeseries.kv_cache_usage_perc.mean,timeseries.kv_cache_usage_perc.minimum_coverage,timeseries.num_requests_running.mean,timeseries.num_requests_running.minimum_coverage,timeseries.num_requests_waiting.mean,timeseries.num_requests_waiting.minimum_coverage,hardware_timeseries.utilization.gpu.mean,hardware_timeseries.utilization.gpu.minimum_coverage,hardware_timeseries.temperature.gpu.mean,hardware_timeseries.temperature.gpu.minimum_coverage,hardware_timeseries.power.draw.mean,hardware_timeseries.power.draw.minimum_coverage,hardware_timeseries.clocks.sm.mean,hardware_timeseries.clocks.sm.minimum_coverage,GPU_to_CPU.bytes,GPU_to_CPU.time_s,GPU_to_CPU.jobs,CPU_to_GPU.bytes,CPU_to_GPU.time_s,CPU_to_GPU.jobs,critical_path.llm_latency.mean,critical_path.tool_latency.mean,critical_path.residual_latency.mean,critical_path.orchestration_gap_s.mean,critical_node_llm.mean,critical_node_llm.p95,critical_node_llm.maximum,request.e2e_request_latency_seconds.mean,request.request_decode_time_seconds.mean,request.request_prefill_kv_computed_tokens.mean,request.request_prefill_time_seconds.mean,request.request_prompt_tokens.mean,request.request_queue_time_seconds.mean,request.time_to_first_token_seconds.mean
0.05,base,3,326.35700191060704,24,459.32729268074036,383.9267052412033,449.9072158575058,455.9641751408577,458.7638669729233,0.02740544506105784,875.7383777759969,866.4915631785989,880.6771751902997,177.14879687467788,33.0,,,,,,,,,,,,,,,,,,,2373898.0,3492912.0,0.0,0.8028547108157532,0.9999756253780201,8.309373452451437,0.9999756253780201,8.247912821345743,0.9999756253780201,98.64266252940669,1.0,58.54321065616874,1.0,368.79453110081874,1.0,1358.9669377156229,1.0,,,,,,,299.2333296040694,27.11036245028178,0.0016765296459197998,0.011523385842641195,21.06299347854128,41.464536273479446,51.27558612823486,23.089554601245457,10.36958128415669,3663.4228395061727,1.2934468742460012,9053.719135802468,10.968344877014097,12.753146633321856
0.05,agent,1,277.3029495179653,24,374.94875597953796,303.1772531270981,363.02913863658904,363.33295422792435,372.28761119365697,0.029762290180970236,806.3895571902394,806.3895571902394,806.3895571902394,192.38344372979162,0.0,95.506,95.506,34.0,0.0,636.0,0.0,3.0,2055417.0,94472.0,0.0,3964000.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,1900929.0,3964000.0,0.0,0.7904405935243993,0.9999724530017114,8.447875895629048,0.9999724530017114,5.516490421830148,0.9999724530017114,98.52903922253708,1.0,67.37026555778624,1.0,365.5193839582877,1.0,1370.3436674309194,1.0,,,,,,,250.18117902676263,27.109746118386585,0.0015719036261240642,0.010452469189961752,16.573289566764643,41.703237795829764,102.27955794334412,18.1035192211469,9.84273588978168,2933.5324074074074,0.9342522976207145,9050.816358024691,6.853822928933818,8.260558508796457
0.05,offload,1,195.951897641023,24,253.64883542060852,209.0520852804184,249.84070568084715,252.94168449640273,253.5044160890579,0.03541807571560449,677.6200997680426,677.6200997680426,677.6200997680426,228.94244142566743,51.0,,,,,,,,,,,,,,,,,,,739000.0,3642336.0,1482800.0,0.7868763872556964,0.9999719696273234,8.039527007286871,0.9999719696273234,4.040486195446748,0.9999719696273234,97.6563310836655,1.0,56.010022834034054,1.0,354.0867187378966,1.0,1388.6645943618978,1.0,56050581504.0,2.245089532360434,96.0,292216111104.0,11.682239306986334,273.0,167.04456250866255,28.892642209927242,0.0016616185506184895,0.013031303882598877,11.401522714133357,21.87502932548523,30.280821800231934,12.824261869545337,8.073561422475096,1140.432098765432,0.47049195828767104,9049.592592592593,4.118471940335485,4.74953681488096
0.05,agent_offload,3,204.4403448601564,24,258.24361205101013,219.54742324352264,247.7962129354477,252.1369250416756,256.03832416534425,0.03545769326761472,676.8629820011556,675.0989561602473,681.0088259913027,229.19852928186157,0.0,53.586,58.142,112.0,1187760.0,642.0,0.0,0.0,908327.0,79518.0,0.0,3953904.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,753839.0,3953904.0,1187760.0,0.7833619107174388,0.9999691474606563,7.933130401398026,0.9999691474606563,4.32780150834696,0.9999691474606563,98.07042973470648,1.0,66.69300165159237,1.0,354.3363073600384,1.0,1389.8937022366395,1.0,57098108928.0,2.262308099687099,87.0,233523118080.0,9.384355853900308,234.0,175.75948255260786,28.930272618929546,0.0017438133557637532,0.012868295113245646,11.75145190428285,27.062383389472956,59.5266273021698,13.17359087386249,8.062456317625388,1163.3317901234568,0.38926982111584996,9071.82561728395,4.515496377838937,5.064940332262604
0.1,base,3,559.0239823659261,24,728.4233214855194,647.8594909906387,720.6723826885222,725.3329707622528,727.8784484243392,0.02551118404690431,940.7638608962297,926.7121307179332,951.3009276539087,164.90429367918944,42.0,,,,,,,,,,,,,,,,,,,2917203.0,2958048.0,0.0,0.8208594837535201,0.9999768399950064,8.30541663003354,0.9999768399950064,20.776607520595352,0.9999768399950064,98.40335968408678,1.0,59.019313155493855,1.0,372.23191694722465,1.0,1350.4603065861545,1.0,,,,,,,531.7590867678324,27.252482493718464,0.0016772250334421794,0.01082135240236918,39.505170395561294,66.96839860677719,79.51630234718323,42.87686082352827,10.924050331638872,4501.856481481482,1.4361998422508255,9059.199074074075,29.762389298999842,31.75975243360908
0.1,agent,1,539.9117716650168,24,614.0906109809875,586.6175730228424,603.0213955879211,607.8188350439073,612.8123442220688,0.029065514695322515,825.7207983955741,825.7207983955741,825.7207983955741,187.87948699056474,0.0,115.692,115.692,83.0,0.0,640.0,0.0,126.0,2440704.0,376590.0,0.0,3588288.0,0.0,0.0,0.0,1647.0,0.0,0.0,0.0,2286216.0,3588288.0,0.0,0.8175867915621805,0.9999732573212246,8.894165407881607,0.9999732573212246,22.779182556085296,0.9999732573212246,98.93161771111318,1.0,68.84382694425528,1.0,372.0291909243669,1.0,1363.575320492974,1.0,,,,,,,512.7893691162268,27.10987741748492,0.0017180442810058594,0.010807087024052938,38.3238354518133,105.96385766267775,130.27229022979736,41.098883657543745,10.52308662035675,3528.1111111111113,1.132384163568969,9065.592592592593,28.93251516877524,30.57566813664672
0.1,offload,1,369.2745563685894,24,460.5647482872009,430.42749547958374,458.61080415248875,459.6617763876915,460.3759586787224,0.03567887729388741,672.6669060327113,672.6669060327113,672.6669060327113,230.62826282768825,54.0,,,,,,,,,,,,,,,,,,,782131.0,3039072.0,2052368.0,0.8301491815018724,0.9999670206259135,8.235697415224887,0.9999670206259135,17.62800830749538,0.9999670206259135,98.18133304724773,1.0,54.71214857669447,1.0,350.7514847304367,1.0,1388.0638802237759,1.0,56012832768.0,2.2506174310743807,92.0,404949565440.0,16.181256023332477,300.0,339.85669226447743,29.402392427126568,0.0017355382442474365,0.013736138741175333,24.73703193255499,41.617055475711815,48.60213804244995,27.027283791406656,8.185560726738869,1206.9922839506173,0.5619931966641251,9064.152777777777,18.12870938302144,18.84042918939649
0.1,agent_offload,3,359.7661197582881,24,465.395409822464,418.20233154296875,444.7562130212784,449.18752028942106,461.4750219130516,0.035752807879477974,671.2759479172528,656.8152149617672,672.2622015178204,231.1061501329456,0.0,93.069,96.312,174.0,1360944.0,640.0,0.0,18.0,1108224.0,276194.0,0.0,3562064.0,0.0,0.0,0.0,1184.0,0.0,0.0,0.0,953736.0,3562064.0,1360944.0,0.8202163366237408,0.9999661846755162,8.623461468998574,0.9999661846755162,15.471734717467521,0.9999661846755162,98.23377033917008,1.0,63.6968282669977,1.0,354.5758155683506,1.0,1387.3694683574702,1.0,55509516288.0,2.212803509756924,93.0,267572477952.0,10.765703107833861,277.0,330.1209322810173,29.437679320573807,0.0017648041248321533,0.012945810953776041,23.297664856209476,62.880468809604636,100.86065816879272,24.5927677585019,8.578684136484187,1471.8148148148148,0.47840390513639575,9067.600308641975,15.689547181537629,16.274352147991273
0.2,base,1,661.9179598887762,24,826.2543251514435,743.6875680685043,817.7570884227753,821.6439780592918,825.3512499284744,0.025564733669436592,938.7932731993496,938.7932731993496,938.7932731993496,165.25043843923814,47.0,,,,,,,,,,,,,,,,,,,2996432.0,2874848.0,0.0,0.8323683488058029,0.9999820499640358,8.408148986616498,0.9999820499640358,27.393865830209922,0.9999820499640358,98.81705558035543,1.0,60.313031241714405,1.0,372.9786818594411,1.0,1348.273735561074,1.0,,,,,,,634.2264412740866,27.67831028501193,0.0017290910085042317,0.011479238669077555,48.052104003873524,78.07542510032654,89.8983542919159,52.75319311133138,11.105187456882387,4624.123456790124,1.5594743985429773,9060.617283950618,39.49675860251932,41.64694512111169
0.2,agent,1,553.7763579984506,24,694.6238794326782,547.2804012298584,692.2838293790817,693.4814561128616,694.40572006464,0.029422798870994336,815.6939829289913,815.6939829289913,815.6939829289913,190.1889719021074,0.0,114.911,114.911,75.0,0.0,645.0,0.0,95.0,2531140.0,332450.0,0.0,3500224.0,0.0,0.0,0.0,1203.0,0.0,0.0,0.0,2376652.0,3500224.0,0.0,0.8513310553912492,0.9999733321274896,9.227480572584684,0.9999733321274896,20.279341438139088,0.9999733321274896,99.10351370563308,1.0,69.39119896099176,1.0,376.57164992294037,1.0,1360.7093567854886,1.0,,,,,,,526.6538796226183,27.109635531902313,0.0017119944095611572,0.011130849520365397,36.28494248261639,91.67721406221389,124.82038927078247,37.99033536771197,10.728853174186323,3667.6728395061727,1.1542168014084944,9069.253086419752,25.539874776950636,27.261271077541657
